Time,República de Chile_predicho
2020-04-30,418.73527848769214
2020-05-01,423.11820980708006
2020-05-02,391.0210593971825
2020-05-03,368.8927493158301
2020-05-04,502.0315016305067
2020-05-05,498.19677099530315
2020-05-06,531.9901163400398
2020-05-07,507.9871549928146
2020-05-08,521.606331707526
2020-05-09,474.46835190729524
2020-05-10,349.04014550400103
2020-05-11,479.52623585411783
2020-05-12,453.30282729225763
2020-05-13,488.95204402902954
2020-05-14,467.60752693146696
2020-05-15,474.304624710529
2020-05-16,463.40885718560463
2020-05-17,418.81091075036335
2020-05-18,444.21800605739577
2020-05-19,371.03581329983825
2020-05-20,210.46600040144017
2020-05-21,332.21464376550654
2020-05-22,427.7809865928569
2020-05-23,395.7593868808239
2020-05-24,383.9050552959524
2020-05-25,447.0769441397285
2020-05-26,463.5762264905066
2020-05-27,384.27429165092775
2020-05-28,350.1302530541253
2020-05-29,321.68912152197566
2020-05-30,360.4231369433916
2020-05-31,310.32643561190895
2020-06-01,425.76566086127684
2020-06-02,334.1500611823763
2020-06-03,313.20005414569295
2020-06-04,410.60480110011804
2020-06-05,425.12393851798674
2020-06-06,386.75636786889
2020-06-07,344.2154071426899
2020-06-08,379.00703789554694
2020-06-09,388.93356134533843
2020-06-10,422.4360098475826
2020-06-11,325.21001264189937
2020-06-12,199.5153040830725
2020-06-13,350.6586720946179
2020-06-14,347.42674825894056
2020-06-15,339.9632978419139
2020-06-16,356.66409244960204
2020-06-17,94.63219025617026
2020-06-18,288.3274864639546
2020-06-19,94.10313450373668
2020-06-20,117.78843606403589
2020-06-21,119.51039847645785
2020-06-22,84.3979109174022
2020-06-23,108.17577112516729
2020-06-24,88.79618832042688
2020-06-25,151.6676236797402
2020-06-26,169.49232549532778
2020-06-27,169.5056489569813
2020-06-28,118.45711893769271
2020-06-29,61.746433892023916
2020-06-30,165.22046777299937
2020-07-01,133.17779753271577
2020-07-02,186.27249149930628
2020-07-03,177.89870843492085
2020-07-04,75.74159025734404
2020-07-05,127.35576526838845
2020-07-06,204.12527879280535
2020-07-07,224.79808743116484
2020-07-08,126.6555745850782
2020-07-09,212.73545237786246
2020-07-10,240.32492315146195
2020-07-11,206.393867551109
2020-07-12,168.96773068822742
2020-07-13,283.9165904164564
2020-07-14,289.49839800211856
2020-07-15,248.96063140492035
2020-07-16,182.07959454072514
2020-07-17,226.91404871147301
2020-07-18,173.5376502533756
2020-07-19,200.0193815079475
2020-07-20,265.9886598628185
2020-07-21,89.09344001647005
2020-07-22,251.6313941515643
2020-07-23,266.5445985425582
2020-07-24,291.9430411850628
2020-07-25,232.1627336385174
2020-07-26,190.75690931968174
