Time,Alameda
2017-12-17,343.0
2017-12-18,544.0
2017-12-19,557.0
2017-12-20,518.0
2017-12-21,506.0
2017-12-22,462.0
2017-12-23,345.0
2017-12-24,248.0
2017-12-25,227.0
2017-12-26,621.0
2017-12-27,567.0
2017-12-28,584.0
2017-12-29,467.0
2017-12-30,404.0
2017-12-31,254.0
2018-01-01,165.0
2018-01-02,612.0
2018-01-03,617.0
2018-01-04,592.0
2018-01-05,530.0
2018-01-06,411.0
2018-01-07,310.0
2018-01-08,568.0
2018-01-09,581.0
2018-01-10,589.0
2018-01-11,560.0
2018-01-12,539.0
2018-01-13,449.0
2018-01-14,394.0
2018-01-15,567.0
2018-01-16,593.0
2018-01-17,571.0
2018-01-18,609.0
2018-01-19,560.0
2018-01-20,433.0
2018-01-21,380.0
2018-01-22,604.0
2018-01-23,640.0
2018-01-24,646.0
2018-01-25,639.0
2018-01-26,556.0
2018-01-27,486.0
2018-01-28,377.0
2018-01-29,642.0
2018-01-30,667.0
2018-01-31,669.0
2018-02-01,585.0
2018-02-02,537.0
2018-02-03,436.0
2018-02-04,362.0
2018-02-05,573.0
2018-02-06,600.0
2018-02-07,575.0
2018-02-08,595.0
2018-02-09,549.0
2018-02-10,452.0
2018-02-11,325.0
2018-02-12,615.0
2018-02-13,620.0
2018-02-14,568.0
2018-02-15,540.0
2018-02-16,514.0
2018-02-17,395.0
2018-02-18,339.0
2018-02-19,579.0
2018-02-20,537.0
2018-02-21,573.0
2018-02-22,579.0
2018-02-23,562.0
2018-02-24,436.0
2018-02-25,343.0
2018-02-26,658.0
2018-02-27,633.0
2018-02-28,619.0
2018-03-01,670.0
2018-03-02,572.0
2018-03-03,433.0
2018-03-04,339.0
2018-03-05,645.0
2018-03-06,634.0
2018-03-07,688.0
2018-03-08,707.0
2018-03-09,654.0
2018-03-10,494.0
2018-03-11,378.0
2018-03-12,711.0
2018-03-13,638.0
2018-03-14,658.0
2018-03-15,692.0
2018-03-16,666.0
2018-03-17,422.0
2018-03-18,324.0
2018-03-19,687.0
2018-03-20,732.0
2018-03-21,684.0
2018-03-22,749.0
2018-03-23,661.0
2018-03-24,490.0
2018-03-25,423.0
2018-03-26,721.0
2018-03-27,769.0
2018-03-28,757.0
2018-03-29,705.0
2018-03-30,438.0
2018-03-31,383.0
2018-04-01,417.0
2018-04-02,801.0
2018-04-03,810.0
2018-04-04,771.0
2018-04-05,705.0
2018-04-06,626.0
2018-04-07,457.0
2018-04-08,417.0
2018-04-09,788.0
2018-04-10,772.0
2018-04-11,663.0
2018-04-12,745.0
2018-04-13,664.0
2018-04-14,614.0
2018-04-15,396.0
2018-04-16,745.0
2018-04-17,693.0
2018-04-18,728.0
2018-04-19,711.0
2018-04-20,710.0
2018-04-21,530.0
2018-04-22,432.0
2018-04-23,733.0
2018-04-24,711.0
2018-04-25,775.0
2018-04-26,743.0
2018-04-27,722.0
2018-04-28,510.0
2018-04-29,359.0
2018-04-30,578.0
2018-05-01,372.0
2018-05-02,691.0
2018-05-03,705.0
2018-05-04,695.0
2018-05-05,577.0
2018-05-06,469.0
2018-05-07,797.0
2018-05-08,870.0
2018-05-09,755.0
2018-05-10,744.0
2018-05-11,709.0
2018-05-12,537.0
2018-05-13,383.0
2018-05-14,691.0
2018-05-15,689.0
2018-05-16,650.0
2018-05-17,750.0
2018-05-18,704.0
2018-05-19,498.0
2018-05-20,406.0
2018-05-21,424.0
2018-05-22,710.0
2018-05-23,768.0
2018-05-24,722.0
2018-05-25,723.0
2018-05-26,375.0
2018-05-27,371.0
2018-05-28,525.0
2018-05-29,178.0
2018-05-30,518.0
2018-05-31,546.0
2018-06-01,548.0
2018-06-02,398.0
2018-06-03,368.0
2018-06-04,514.0
2018-06-05,440.0
2018-06-06,514.0
2018-06-07,595.0
2018-06-08,633.0
2018-06-09,292.0
2018-06-10,160.0
2018-06-11,193.0
2018-06-12,467.0
2018-06-13,560.0
2018-06-14,539.0
2018-06-15,534.0
2018-06-16,409.0
2018-06-17,357.0
2018-06-18,616.0
2018-06-19,667.0
2018-06-20,628.0
2018-06-21,563.0
2018-06-22,594.0
2018-06-23,446.0
2018-06-24,147.0
2018-06-25,625.0
2018-06-26,569.0
2018-06-27,625.0
2018-06-28,540.0
2018-06-29,599.0
2018-06-30,412.0
2018-07-01,174.0
2018-07-02,310.0
2018-07-03,555.0
2018-07-04,270.0
2018-07-05,145.0
2018-07-06,154.0
2018-07-07,400.0
2018-07-08,367.0
2018-07-09,618.0
2018-07-10,527.0
2018-07-11,584.0
2018-07-12,660.0
2018-07-13,579.0
2018-07-14,408.0
2018-07-15,276.0
2018-07-16,362.0
2018-07-17,578.0
2018-07-18,533.0
2018-07-19,551.0
2018-07-20,558.0
2018-07-21,404.0
2018-07-22,313.0
2018-07-23,554.0
2018-07-24,635.0
2018-07-25,637.0
2018-07-26,616.0
2018-07-27,361.0
2018-07-28,482.0
2018-07-29,301.0
2018-07-30,626.0
2018-07-31,564.0
2018-08-01,642.0
2018-08-02,572.0
2018-08-03,611.0
2018-08-04,404.0
2018-08-05,296.0
2018-08-06,542.0
2018-08-07,486.0
2018-08-08,697.0
2018-08-09,714.0
2018-08-10,702.0
2018-08-11,506.0
2018-08-12,395.0
2018-08-13,695.0
2018-08-14,744.0
2018-08-15,473.0
2018-08-16,769.0
2018-08-17,696.0
2018-08-18,464.0
2018-08-19,392.0
2018-08-20,758.0
2018-08-21,822.0
2018-08-22,612.0
2018-08-23,194.0
2018-08-24,621.0
2018-08-25,463.0
2018-08-26,443.0
2018-08-27,731.0
2018-08-28,741.0
2018-08-29,729.0
2018-08-30,637.0
2018-08-31,570.0
2018-09-01,412.0
2018-09-02,393.0
2018-09-03,784.0
2018-09-04,832.0
2018-09-05,732.0
2018-09-06,726.0
2018-09-07,739.0
2018-09-08,560.0
2018-09-09,425.0
2018-09-10,791.0
2018-09-11,800.0
2018-09-12,807.0
2018-09-13,727.0
2018-09-14,691.0
2018-09-15,332.0
2018-09-16,317.0
2018-09-17,246.0
2018-09-18,148.0
2018-09-19,256.0
2018-09-20,560.0
2018-09-21,730.0
2018-09-22,604.0
2018-09-23,410.0
2018-09-24,819.0
2018-09-25,817.0
2018-09-26,868.0
2018-09-27,677.0
2018-09-28,667.0
2018-09-29,307.0
2018-09-30,332.0
2018-10-01,851.0
2018-10-02,880.0
2018-10-03,923.0
2018-10-04,858.0
2018-10-05,794.0
2018-10-06,639.0
2018-10-07,370.0
2018-10-08,743.0
2018-10-09,825.0
2018-10-10,858.0
2018-10-11,804.0
2018-10-12,743.0
2018-10-13,545.0
2018-10-14,425.0
2018-10-15,585.0
2018-10-16,802.0
2018-10-17,890.0
2018-10-18,884.0
2018-10-19,917.0
2018-10-20,693.0
2018-10-21,548.0
2018-10-22,920.0
2018-10-23,937.0
2018-10-24,992.0
2018-10-25,966.0
2018-10-26,990.0
2018-10-27,731.0
2018-10-28,528.0
2018-10-29,672.0
2018-10-30,712.0
2018-10-31,935.0
2018-11-01,500.0
2018-11-02,515.0
2018-11-03,636.0
2018-11-04,571.0
2018-11-05,1038.0
2018-11-06,990.0
2018-11-07,1062.0
2018-11-08,1028.0
2018-11-09,1027.0
2018-11-10,730.0
2018-11-11,496.0
2018-11-12,941.0
2018-11-13,799.0
2018-11-14,1030.0
2018-11-15,1013.0
2018-11-16,960.0
2018-11-17,684.0
2018-11-18,640.0
2018-11-19,968.0
2018-11-20,1088.0
2018-11-21,1151.0
2018-11-22,1034.0
2018-11-23,994.0
2018-11-24,736.0
2018-11-25,533.0
2018-11-26,1089.0
2018-11-27,1150.0
2018-11-28,1160.0
2018-11-29,1123.0
2018-11-30,1013.0
2018-12-01,736.0
2018-12-02,578.0
2018-12-03,1064.0
2018-12-04,848.0
2018-12-05,1007.0
2018-12-06,1065.0
2018-12-07,982.0
2018-12-08,522.0
2018-12-09,504.0
2018-12-10,1074.0
2018-12-11,1062.0
2018-12-12,1075.0
2018-12-13,1074.0
2018-12-14,927.0
2018-12-15,705.0
2018-12-16,531.0
2018-12-17,1079.0
2018-12-18,1038.0
2018-12-19,1003.0
2018-12-20,981.0
2018-12-21,923.0
2018-12-22,760.0
2018-12-23,528.0
