Time,San Juan_predicho
2020-04-30,1162.2011037065226
2020-05-01,822.8915150042787
2020-05-02,865.3832415676382
2020-05-03,720.0240757517942
2020-05-04,1116.2020884231051
2020-05-05,1086.658281260751
2020-05-06,1115.3700875917752
2020-05-07,1107.1215584318554
2020-05-08,1100.0794227699134
2020-05-09,930.0127191487683
2020-05-10,719.4820609817465
2020-05-11,1062.789115690832
2020-05-12,992.9792938526301
2020-05-13,1039.3579936899828
2020-05-14,1059.344117369419
2020-05-15,1097.2078365019433
2020-05-16,969.7547922872114
2020-05-17,745.020481564361
2020-05-18,1055.1503144460846
2020-05-19,890.1495116970261
2020-05-20,605.6309735711361
2020-05-21,732.5079963154399
2020-05-22,976.4615721517875
2020-05-23,848.6575196589629
2020-05-24,638.3116081704106
2020-05-25,1024.8499900426052
2020-05-26,1118.1026164416214
2020-05-27,939.2074693438686
2020-05-28,855.0184330049151
2020-05-29,838.023538543779
2020-05-30,754.1218057958062
2020-05-31,628.4991749711751
2020-06-01,1038.4959753476596
2020-06-02,863.5619976636444
2020-06-03,833.6997898825508
2020-06-04,939.5273035197004
2020-06-05,974.3230071458199
2020-06-06,809.638126457708
2020-06-07,625.0347043760919
2020-06-08,898.433127074092
2020-06-09,869.3795164671471
2020-06-10,903.0169366075504
2020-06-11,845.0980586839399
2020-06-12,550.6281222626319
2020-06-13,861.1882089997198
2020-06-14,652.9001255768944
2020-06-15,938.1323628189349
2020-06-16,902.7022249225622
2020-06-17,399.37215352876245
2020-06-18,822.6563298835725
2020-06-19,395.16800928061355
2020-06-20,409.50570835429
2020-06-21,369.2201098142048
2020-06-22,306.7565322797339
2020-06-23,449.4948378384734
2020-06-24,424.15919862972055
2020-06-25,491.1065651488082
2020-06-26,576.8842118821583
2020-06-27,516.4031482196534
2020-06-28,348.6528229048714
2020-06-29,271.9854619553791
2020-06-30,583.086483945749
2020-07-01,456.66447921776677
2020-07-02,585.3342197180399
2020-07-03,621.7301239765794
2020-07-04,276.46271013949973
2020-07-05,406.4675987683115
2020-07-06,614.0771808826995
2020-07-07,600.945875307001
2020-07-08,395.31891865514604
2020-07-09,609.267128512322
2020-07-10,606.7685936758492
2020-07-11,528.1018559977058
2020-07-12,375.7955641684855
2020-07-13,691.2683332417784
2020-07-14,677.8250562572695
2020-07-15,727.52913073433
2020-07-16,489.44897342745236
2020-07-17,631.0004308152003
2020-07-18,541.8011316117421
2020-07-19,428.00730443087497
2020-07-20,659.465238606361
2020-07-21,302.6407645577127
2020-07-22,587.1776569032564
2020-07-23,618.5231626426178
2020-07-24,735.0184023769467
2020-07-25,523.1475659124843
2020-07-26,363.67310479831383
2020-07-27,615.6384217203392
2020-07-28,746.6050722744911
2020-07-29,714.0559478293949
2020-07-30,701.2601096416294
2020-07-31,678.945644108854
2020-08-01,541.6660248457542
2020-08-02,480.36723306024453
2020-08-03,694.69639565319
2020-08-04,717.7531249873913
2020-08-05,523.4504641783152
2020-08-06,695.3633452608549
2020-08-07,700.126497994929
2020-08-08,641.4212506944575
2020-08-09,468.32014568971033
2020-08-10,935.9509989566178
2020-08-11,895.1453902626389
2020-08-12,895.1713110148638
2020-08-13,897.9000931250824
2020-08-14,888.5648134175148
2020-08-15,563.5488567507634
2020-08-16,453.0491185167766
2020-08-17,973.7457945680592
2020-08-18,933.885288855244
2020-08-19,903.2951092496751
2020-08-20,1024.0243260992631
2020-08-21,1031.322645034615
2020-08-22,635.397072918273
